"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43"
705896.536343778,504854.905783435,423190.908859007,611483.281374238,1987218.61300696,1102535.28009878,1169015.51083913,1149302.74067943,887255.675471598,1235228.71427473,0,391752.308678996,73798.9898732233,1082920.92296142,1061460.02820482,863391.052434,159509.667991878,891092.49583667,2410862.40739585,1551414.57249985,881021.428024805,1342423.44827836,1127202.23561604,448210.244842764,78468.0374315354,1271282.53814389,1351151.37033971,1168851.9471906,1472661.03833159,539837.661840731,774666.088965478,1088281.40469567,912910.821693644,468592.929112561,1287596.24664288,1405306.92476153,1826215.65441413,262414.213562373,173112.698372208,182183.766184074,2047994.57191752,227651.803615609,89553.5207589793
412781.74593052,181053.823869162,621102.597104438,841703.627484769,2204992.34971076,951981.889505509,1518005.40957136,829602.163828547,567555.098620715,1082332.17793095,391752.308678996,0,405918.830920365,789806.132548158,768345.237791558,1127628.64248723,510842.712474615,597977.705423412,2722320.34355961,1851198.41047142,587906.637611546,1265624.45840513,807501.658765158,455563.491861038,468462.98679765,1609728.28099883,1264352.38046649,1085078.2104868,1208749.35008616,931589.970519726,481551.29855222,1004507.66799188,829137.084989846,76840.6204335659,1624284.63018494,1714463.34573513,2137673.59057789,130166.522241371,218639.610306789,209568.542494924,2359452.50808128,401539.1052434,304608.173055266
720063.058585148,519021.428024806,485391.918985784,680311.708498985,1925846.03000493,1060368.75785741,1114086.578651,1163469.2629208,901422.197712969,1193062.19203336,73798.9898732233,405918.830920365,0,1097087.44520279,1075626.55044619,936361.615182476,106923.881554251,905259.01807804,2355306.05820974,1490041.98949782,895187.950266175,1415394.01102683,1141368.75785741,374411.254969542,94024.3866176396,1211667.31445474,1424121.93308819,1095052.95731737,1516030.66274079,527671.139599362,788832.611206848,1014482.41482245,839111.831820421,482759.45135393,1227981.02295373,1343934.3417595,1770659.30522802,275752.308678997,187279.220613579,196350.288425444,1992438.22273142,289852.813742385,107992.949366117
422906.637611546,641060.966544096,1309785.93001262,1157735.15677734,2976573.0855145,1735989.03218044,2209174.02385378,351923.88155425,620031.529292572,1866339.32060589,1082920.92296141,789806.132548158,1097087.44520278,0,91024.3866176395,1336768.68606992,1202011.32675703,191828.427124746,3417003.67646779,2549982.24844299,201899.494936612,475818.325856978,378894.444302727,1227144.22766478,1159631.60108007,2300896.89528125,474546.247918336,1869085.35316173,418943.217538005,1622758.58480214,357877.200360024,1788514.81066681,1613144.22766478,779516.810666811,2315453.24446736,2405631.96001754,2832356.92348607,881830.519165796,909808.224589207,900737.156777342,3054135.84098946,1090222.43815158,995776.787337684
401445.742854948,619600.071787498,1288325.03525602,1197095.54647055,2955112.1907579,1714528.13742385,2187713.12909718,280781.74593052,548889.393668843,1844878.42584929,1061460.02820482,768345.237791559,1075626.55044619,91024.3866176395,0,1376129.07576313,1180550.43200043,170367.532368147,3395542.78171119,2528521.35368639,180438.600180013,515178.715550188,307752.308678997,1205683.33290818,1138170.70632347,2279436.00052465,513906.637611546,1847624.45840514,458303.607231215,1601297.69004555,336416.305603425,1767053.91591021,1591683.33290818,758055.915910213,2293992.34971076,2384171.06526095,2810896.02872947,860369.624409198,888347.329832609,879276.262020743,3032674.94623286,1068761.54339498,974315.892581085
1439287.58877778,1238245.95821744,758737.156777341,541566.542494923,2541606.34791064,1898318.25151856,1723403.24574282,1504055.04935843,1620646.7279056,2028668.53994401,863391.052434,1127628.64248724,936361.615182476,1336768.68606992,1376129.07576313,0,974023.520065852,1528597.11319466,2965250.14229953,2105802.30740353,1538668.18100653,917283.404695677,1531025.6121069,1310772.87015201,902094.587877717,1825670.27304757,926011.326757034,2031414.57249985,1047520.99474891,1005771.64466275,1508057.14139948,1950844.03000493,1775473.4470029,1204469.2629208,1841983.98154656,1959694.65966521,2380603.38931781,1048824.60198013,941297.690045547,946226.622233682,2602382.3068212,779638.743755004,888354.564548594
824986.940139398,623945.309579055,582700.576850884,770992.949366115,1827708.94501508,1111444.87630316,1009505.84284726,1268393.14447505,1006346.07926722,1244138.31047911,159509.667991878,510842.712474615,106923.881554251,1202011.32675704,1180550.43200044,974023.520065852,0,1010182.89963229,2255411.61390702,1391904.90450798,1000111.83182042,1453055.91591021,1246292.63941166,404984.848098348,81041.6305603426,1111772.87015202,1461783.83797157,1062361.61518247,1583293.50596344,421333.044482738,893756.492761098,981791.072687551,806420.489685524,587683.33290818,1128086.578651,1245797.25676965,1670764.8609253,380676.190233247,292203.10216783,301274.169979695,1892543.77842869,387161.471607485,214088.403795622
231078.210486802,449232.539419351,1117957.50288787,1338558.5332682,2784744.65838975,1544160.6050557,2017345.59672903,451149.278298666,611258.634064435,1674510.89348114,891092.495836669,597977.705423413,905259.018078038,191828.427124746,170367.532368147,1528597.11319466,1010182.89963229,0,3225175.24934304,2358153.82131824,10071.0678118655,667646.752981722,478119.841047143,1035315.80054004,967803.173955323,2109068.46815651,666374.67504308,1677256.92603699,610771.644662749,1430930.1576774,166048.773235279,1596686.38354207,1421315.80054004,587688.383542067,2123624.81734261,2213803.5328928,2640528.49636132,690002.092041051,717979.797464462,708908.729652597,2862307.41386472,898394.011026835,803948.360212939
3039979.28985015,2835422.94066405,2834053.31625485,3022345.68877008,977241.774135333,2885512.98552219,1245905.77105976,3479870.77556004,3217823.71035221,3015023.52006585,2410862.40739584,2722320.34355961,2355306.05820974,3417003.67646779,3395542.78171119,2965250.14229953,2255411.61390701,3225175.24934304,0,871121.933088192,3215104.18153118,3669614.71607484,3457770.27049665,2442492.78298665,2332394.36996431,1144467.17087975,3678342.6381362,2439964.64556281,3799852.30612807,1963579.00270017,3108748.84247185,2392531.18805773,2472606.34791064,2799160.96399317,1129082.3945689,1012543.2893255,584646.752981723,2592153.82131824,2508367.02475384,2516266.51969045,367277.220613577,2638514.21101145,2462470.58045111
2172957.86182535,1964301.00757586,1974605.48135886,2162897.85387409,482195.959492892,2014391.052434,382399.061660722,2608748.84247185,2346701.77726402,2143901.58697766,1551414.57249985,1851198.41047142,1490041.98949782,2549982.24844299,2528521.35368639,2105802.30740354,1391904.90450798,2358153.82131824,871121.933088194,0,2348082.75350638,2810166.88117885,2586648.33740847,1571370.84989846,1472946.53506832,280960.461480711,2818894.80324021,1568842.71247461,2940404.47123208,1104131.16780418,2241727.41444705,1521409.25496954,1601484.41482245,1928039.03090498,269090.403795622,146107.647738325,286475.180106472,1721031.88823005,1641345.59672904,1649245.09166565,508254.097609866,1779066.37611546,1597206.51173919
